,country,SecondarySchoolCompletionRate,GDP,Urbanpop
0,Arab World,69.0170669555664,14284.5472827034,253306244.0
1,Caribbean small states,80.4012603759766,15975.6486301184,3802091.0
2,Central Europe and the Baltics,89.6079788208008,32642.8349372599,63935741.0
3,Early-demographic dividend,78.3790512084961,9334.79046912232,1498425040.0
4,East Asia & Pacific,89.3642883300781,17649.0008763733,1407811694.0
5,East Asia & Pacific (excluding high income),88.6123962402344,14329.6229583008,1190440960.0
6,East Asia & Pacific (IDA & IBRD countries),88.610710144043,14488.5800199879,1174470595.0
7,Euro area,95.6672515869141,47035.5968154498,264348445.0
8,Europe & Central Asia,96.4008712768555,35345.8387826245,665476579.0
9,Europe & Central Asia (excluding high income),95.6705017089844,22114.2601164967,280118386.0
10,Europe & Central Asia (IDA & IBRD countries),96.1905212402344,23090.1318637887,305238750.0
11,European Union,95.5814666748047,44389.109401939,334222735.0
12,Heavily indebted poor countries (HIPC),40.5259399414063,2599.78364219821,292473355.0
13,High income,96.8859481811523,50473.6417554349,987633802.0
14,IBRD only,85.2596130371094,13372.0442633431,2684649049.0
15,IDA & IBRD total,73.9157791137695,10881.3406638608,3310137127.0
16,IDA blend,53.2772407531738,4925.98022436527,239831544.0
17,IDA only,49.7566184997559,3092.95762379333,385656534.0
18,IDA total,51.0141181945801,3697.62888191802,625488078.0
19,Late-demographic dividend,89.2546463012695,17349.0174590057,1460836157.0
20,Latin America & Caribbean,79.8267822265625,16043.1158700407,522741449.0
21,Latin America & Caribbean (excluding high income),79.6834335327148,15488.4452407733,473037212.0
22,Latin America & the Caribbean (IDA & IBRD countries),79.6683578491211,15962.7401253699,510155980.0
23,Least developed countries: UN classification,47.2835388183594,3017.1603914031,352399560.0
24,Low & middle income,73.8473510742188,10603.3881712357,3267394046.0
25,Low income,39.2082290649414,2014.91829469386,213843158.0
26,Lower middle income,75.0720901489258,7115.21183574472,1378166280.0
27,Middle East & North Africa,76.8110122680664,15996.8797476856,299961065.0
28,Middle East & North Africa (excluding high income),73.5352096557617,10232.6918266237,241087171.0
29,Middle East & North Africa (IDA & IBRD countries),73.2120895385742,10282.156888235,237505723.0
