country,lifeexpectancy,schoolenrollment,GDP
Africa Eastern and Southern,63.648988039777,,3585.32288615446
Africa Western and Central,57.7623467867763,,4115.23580077379
Arab World,71.8070751075422,71.7761535644531,14207.5374424655
Caribbean small states,73.6371062810432,86.2773284912109,15967.5733213725
Central Europe and the Baltics,76.9768226818402,101.752723693848,31288.5774972604
Early-demographic dividend,70.4832383376349,74.9146270751953,9190.57940578441
East Asia & Pacific,76.0688639164031,85.2995986938477,17083.3448850682
East Asia & Pacific (excluding high income),75.210501121356,83.7657318115234,13717.2618995613
East Asia & Pacific (IDA & IBRD countries),75.2492174544162,83.6518707275391,13870.4805770203
Euro area,82.0598816959482,108.478973388672,46343.7432286616
Europe & Central Asia,77.9101525774327,105.112228393555,34689.2650541013
Europe & Central Asia (excluding high income),73.6754287432578,99.3141708374023,21673.7268117006
Europe & Central Asia (IDA & IBRD countries),74.0394738036345,99.9903411865234,22555.6672495318
European Union,81.0349054643915,109.966018676758,43549.9706269231
Fragile and conflict affected situations,62.1942490425375,45.9051513671875,4377.59558841009
Heavily indebted poor countries (HIPC),63.1349911561301,41.2742614746094,2546.7787675626
High income,80.7873397628661,106.389686584473,49745.730820158
IBRD only,73.4050029958357,83.8002471923828,13001.1757406208
IDA & IBRD total,71.0718835796461,72.4571685791016,10610.1652844534
IDA blend,62.1618673864433,48.6353302001953,4874.5853207636
IDA only,65.3045620346065,48.269100189209,3013.63669476468
IDA total,64.2481797662746,48.4907493591309,3628.68072937825
Late-demographic dividend,76.2247835264612,89.8348007202148,16746.7474588703
Latin America & Caribbean,75.4408494044772,97.5164184570313,16052.5837699122
Latin America & Caribbean (excluding high income),75.4225013698512,97.782356262207,15514.4775481453
Latin America & the Caribbean (IDA & IBRD countries),75.3573280274652,97.5367889404297,15976.5825113195
Least developed countries: UN classification,65.0398012378038,46.7865715026855,2957.36679919474
Low & middle income,71.0126873326864,72.2942276000977,10339.8363713372
Low income,63.3874993839884,39.8728904724121,1975.84483669868
Lower middle income,68.8696371531745,69.3639526367188,6954.09686010074
Middle East & North Africa,74.0888330897789,80.9544372558594,16073.5191411119
Middle East & North Africa (excluding high income),73.5873387037914,77.6645965576172,10303.5763653543
Middle East & North Africa (IDA & IBRD countries),73.5836236325898,77.4084014892578,10352.6267939303
Middle income,71.8531277650244,76.8915863037109,11270.215124326
North America,78.9867913071173,100.532562255859,60286.8577446144
Not classified,,,
OECD members,80.1045337094175,105.766998291016,44119.8242209495
Other small states,68.5468133901557,68.8077774047852,22732.5787713802
Pacific island small states,69.9290487994467,,7410.70219997651
Post-demographic dividend,80.6934884694291,105.139122009277,48445.9647127989
