country,date,population,lifeexpectancy
Aruba,2020,106766.0,
Aruba,2019,106310.0,76.293
Aruba,2018,105846.0,76.152
Aruba,2017,105361.0,76.01
Aruba,2016,104865.0,75.868
Aruba,2015,104339.0,75.725
Andorra,2020,77265.0,
Andorra,2019,77146.0,
Andorra,2018,77008.0,
Andorra,2017,76997.0,
Andorra,2016,77295.0,
Andorra,2015,77993.0,
United Arab Emirates,2020,9890400.0,
United Arab Emirates,2019,9770526.0,77.972
United Arab Emirates,2018,9630966.0,77.814
United Arab Emirates,2017,9487206.0,77.647
United Arab Emirates,2016,9360975.0,77.47
United Arab Emirates,2015,9262896.0,77.285
Antigua and Barbuda,2020,97928.0,
Antigua and Barbuda,2019,97115.0,77.016
Antigua and Barbuda,2018,96282.0,76.885
Antigua and Barbuda,2017,95425.0,76.752
Antigua and Barbuda,2016,94520.0,76.617
Antigua and Barbuda,2015,93571.0,76.483
Australia,2020,25687041.0,
Australia,2019,25365745.0,82.9
Australia,2018,24982688.0,82.7487804878049
Australia,2017,24601860.0,82.5
Australia,2016,24190907.0,82.4487804878049
Australia,2015,23815995.0,82.4
Austria,2020,8917205.0,
Austria,2019,8879920.0,81.7926829268293
Austria,2018,8840521.0,81.6926829268293
Austria,2017,8797566.0,81.6439024390244
Austria,2016,8736668.0,81.6414634146342
Austria,2015,8642699.0,81.190243902439
Belgium,2020,11555997.0,
Belgium,2019,11488980.0,81.7463414634146
Belgium,2018,11427054.0,81.5951219512195
Belgium,2017,11375158.0,81.4926829268293
Belgium,2016,11331422.0,81.4390243902439
Belgium,2015,11274196.0,80.9926829268293
Bahrain,2020,1701583.0,
Bahrain,2019,1641164.0,77.292
Bahrain,2018,1569440.0,77.163
Bahrain,2017,1494077.0,77.032
Bahrain,2016,1425793.0,76.899
Bahrain,2015,1371853.0,76.762
"Bahamas, The",2020,393248.0,
"Bahamas, The",2019,389486.0,73.918
"Bahamas, The",2018,385635.0,73.752
"Bahamas, The",2017,381749.0,73.554
"Bahamas, The",2016,377923.0,73.329
"Bahamas, The",2015,374200.0,73.088
Bermuda,2020,63903.0,
Bermuda,2019,63913.0,81.8665853658537
Bermuda,2018,63919.0,81.6517073170732
Bermuda,2017,63873.0,81.4419512195122
Bermuda,2016,64554.0,81.2270731707317
Bermuda,2015,65237.0,81.0121951219512
Barbados,2020,287371.0,
Barbados,2019,287021.0,79.19
Barbados,2018,286640.0,79.081
Barbados,2017,286229.0,78.981
Barbados,2016,285798.0,78.888
Barbados,2015,285327.0,78.801
Brunei Darussalam,2020,437483.0,
Brunei Darussalam,2019,433296.0,75.86
Brunei Darussalam,2018,428960.0,75.722
Brunei Darussalam,2017,424481.0,75.585
